id,invt_amt,x_1,x_2,x_3,x_4,x_5,x_6,x_7,w_1,w_2,w_3,w_4,w_5,w_6,w_7
1,410,NYSEARCA:RYE,NYSEARCA:XOP,NYSEARCA:PXE,NYSEARCA:VAW,NYSEARCA:PYZ,,,0.455010089,0.263217176,0.028959989,0.102651944,0.150160802,,
2,310,NYSEARCA:XOP,NYSEARCA:XES,NYSEARCA:VAW,,,,,0.541295814,0.189734586,0.2689696,,,,
3,430,NYSEARCA:XOP,NYSEARCA:PXJ,NYSEARCA:IYM,NYSEARCA:JKH,,,,0.488191296,0.262604732,0.067122638,0.182081334,,,
4,460,NYSEARCA:XES,NYSEARCA:PXI,NYSEARCA:VAW,NYSEARCA:PYZ,,,,0.417127753,0.484994068,0.029230243,0.068647936,,,
5,4520,NYSEARCA:XOP,NYSEARCA:VDE,NYSEARCA:EWC,NYSEARCA:FVL,,,,0.461548659,0.303629642,0.228779078,0.006042622,,,
6,1920,NYSEARCA:IYE,NYSEARCA:XES,NYSEARCA:JKH,NYSEARCA:IGM,,,,0.659033463,0.212342403,0.096903091,0.031721043,,,
7,680,NYSEARCA:PXE,NYSEARCA:VDE,NYSEARCA:XME,NYSEARCA:FVL,NYSEARCA:IGM,,,0.454465388,0.40963321,0.047949853,0.056052972,0.031898576,,
8,3630,NYSEARCA:IEO,NYSEARCA:RYE,NYSEARCA:IEZ,NYSEARCA:JKH,,,,0.33594502,0.356391633,0.0802005,0.227462847,,,
9,420,NYSEARCA:IEZ,NYSEARCA:XOP,NYSEARCA:XBI,NYSEARCA:ITA,NYSEARCA:IHF,,,0.35542186,0.164334913,0.413307661,0.065496276,0.00143929,,
10,3200,NYSEARCA:XOP,NYSEARCA:PXJ,NYSEARCA:PXE,NYSEARCA:JKH,NYSEARCA:EVX,,,0.4187478,0.251736083,0.137676687,0.134741845,0.057097586,,
11,650,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:VDE,NYSEARCA:JKH,NYSEARCA:EVX,,,0.461706419,0.289357486,0.100159756,0.060457945,0.088318394,,
12,4590,NYSEARCA:IEO,NYSEARCA:FVL,NYSEARCA:IGM,,,,,0.776409232,0.087438635,0.136152134,,,,
13,680,NYSEARCA:RYE,NYSEARCA:XES,NYSEARCA:XME,NYSEARCA:RYH,,,,0.60209214,0.160576348,0.091402296,0.145929215,,,
14,1810,NYSEARCA:XOP,NYSEARCA:PXJ,NYSEARCA:IYM,NYSEARCA:VOT,,,,0.503493054,0.229273113,0.134659965,0.132573869,,,
15,3930,NYSEARCA:RYE,NYSEARCA:XOP,NYSEARCA:VDE,NYSEARCA:VAW,NYSEARCA:PYZ,,,0.458787093,0.27658487,0.008632761,0.087616001,0.168379275,,
16,980,NYSEARCA:XOP,NYSEARCA:PXJ,NYSEARCA:XES,NYSEARCA:FVL,NYSEARCA:IGM,,,0.502084755,0.232528831,0.069080595,0.052743807,0.143562011,,
17,1060,NYSEARCA:RYE,NYSEARCA:PXE,NYSEARCA:FVL,NYSEARCA:EVX,NYSEARCA:IGM,,,0.581814198,0.274954121,0.043687677,0.014461688,0.085082317,,
18,2100,NYSEARCA:PXJ,NYSEARCA:PXE,NYSEARCA:XES,NYSEARCA:FVL,NYSEARCA:IGM,,,0.283896074,0.495599267,0.056591807,0.027681297,0.136231555,,
19,1880,NYSEARCA:IEZ,NYSEARCA:IHI,NYSEARCA:XME,NYSEARCA:IHF,,,,0.606112455,0.049491602,0.068657282,0.275738662,,,
20,750,NYSEARCA:PXE,NYSEARCA:XLE,NYSEARCA:IHF,,,,,0.785148762,0.127020323,0.087830915,,,,
21,130,NYSEARCA:IEO,NYSEARCA:EWC,NYSEARCA:JKH,NYSEARCA:IGM,,,,0.694387036,0.178944477,0.074094768,0.052573719,,,
22,1270,NYSEARCA:PXJ,NYSEARCA:PXE,NYSEARCA:EWC,NYSEARCA:EVX,,,,0.281444631,0.423101784,0.249280467,0.046173118,,,
23,1160,NYSEARCA:RYE,NYSEARCA:PXE,NYSEARCA:XME,NYSEARCA:IHF,,,,0.586884129,0.167614854,0.084968332,0.160532685,,,
24,330,NYSEARCA:IEO,NYSEARCA:RYE,NYSEARCA:IEZ,NYSEARCA:XOP,NYSEARCA:IGV,,,0.298960611,0.354123757,0.100841116,0.053019587,0.193054928,,
25,260,NYSEARCA:IEO,NYSEARCA:RYE,NYSEARCA:PXJ,NYSEARCA:FVL,NYSEARCA:IGV,,,0.414602147,0.40168056,0.003745728,0.008663507,0.171308058,,
26,2780,NYSEARCA:RYE,NYSEARCA:IEZ,NYSEARCA:PXE,NYSEARCA:IYM,NYSEARCA:JKH,,,0.450776779,0.167335766,0.168758703,0.00274992,0.210378832,,
27,2490,NYSEARCA:XOP,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:IYM,NYSEARCA:IGV,,,0.446528239,0.117492416,0.250053506,0.031172462,0.154753377,,
28,3060,NYSEARCA:PXJ,NYSEARCA:XES,NYSEARCA:PXI,NYSEARCA:FVL,NYSEARCA:IGV,,,0.443221609,0.199339362,0.169550905,0.026631377,0.161256747,,
