ID,LIMIT,BALANCE,INCOME,RATING,GENDER,EDUCATION,MARITAL,AGE,S1,S2,S3,S4,S5,B1,B2,B3,B4,B5,R1,R2,R3,R4,R5
1,210000,0,235822,1,1,1,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,260000,10928.05,278481,0,0,2,2,31,0,0,0,0,0,54074,46407,38874,31324,24031,2000,2000,2000,2000,72000
3,400000,65397.85,431993,0,0,3,1,51,0,0,0,0,0,343591,352484,338823,283288,185288,15000,14000,11500,8000,7000
4,20000,3695.3,22368,0,0,2,1,58,-1,2,2,-1,-1,21470,200,0,28740,1295,0,0,28740,1565,0
5,180000,68.25,166900,0,1,2,1,42,0,0,0,0,0,1260,598,2056,4300,1802,598,2056,4300,1802,3691
6,180000,22702.4,195515,0,0,2,2,26,2,2,0,0,2,132185,126527,126407,131572,127154,5,5008,10006,10,5004
7,30000,4950.75,23160,0,0,3,2,44,2,2,0,0,0,30728,29701,29121,29715,0,0,600,594,0,0
8,50000,7139.65,56265,0,1,2,1,34,0,0,0,0,0,38937,34737,18702,15604,16333,2000,1000,578,1000,1000
9,150000,23010.75,138398,0,0,1,2,26,0,2,2,2,2,145714,147332,149199,151978,148131,5500,5800,5400,5000,0
10,30000,5240.2,20139,0,1,1,2,23,4,3,2,3,2,29399,28632,30363,29594,30932,0,2500,0,2000,0
11,60000,1429.575,48709,0,0,1,2,24,0,0,0,-1,-1,11027,27469,150,262,3467,17000,0,262,3467,11250
12,500000,46745.3,533731,1,0,1,1,40,2,2,0,0,2,271396,265433,270868,285667,290318,0,9932,19502,9600,10031
13,180000,229.25,195740,1,1,1,1,37,2,0,0,0,-1,0,0,0,0,1350,0,0,0,1350,1210
14,180000,19556.6,181159,0,0,3,1,35,0,0,0,0,0,54470,48311,38221,33947,24731,1734,1183,1174,1000,537
15,60000,8151.15,57476,1,1,2,1,48,0,0,0,0,0,39085,18628,19002,19715,18900,1290,664,1003,693,759
16,200000,0,220635,0,1,1,1,30,0,0,0,0,-1,0,0,0,0,5659,0,0,0,5659,0
17,150000,25808.3,141682,1,1,2,1,25,0,0,0,0,0,140352,110722,98874,65258,58027,4100,4000,2675,2500,1500
18,190000,23657.2,212613,0,0,2,1,58,0,0,0,0,0,139664,142293,113086,115433,117789,5881,3292,3399,3469,5000
19,170000,17874.675,171340,0,0,2,2,42,0,0,0,0,0,100600,103156,94090,95922,99324,5107,3600,3500,5000,3000
20,280000,23634.8,266718,0,0,1,2,29,0,0,0,0,0,130889,127768,130339,133035,135715,4584,3647,3757,3799,3912
21,290000,348.95,303407,0,1,3,1,43,-1,-1,-1,-1,-1,390,390,390,390,780,390,390,390,780,568
22,240000,3787.525,251748,0,0,2,1,44,0,0,0,0,0,19743,20298,15475,15852,16208,1300,1000,1000,1000,1000
23,110000,7466.725,113316,0,1,2,1,24,0,0,0,0,2,43734,43495,43504,45987,44274,1667,1525,4000,0,3000
24,140000,22187.375,136932,0,1,1,2,27,0,0,0,0,0,129752,132554,268084,137061,129250,6500,5000,5000,5568,3600
25,250000,11862.9,295053,1,0,2,1,38,0,0,0,-1,-1,22453,13683,22970,5409,4490,5028,15127,8028,5021,6032
26,100000,18119.5,110522,0,0,3,2,32,2,0,0,0,0,98205,12605,10437,7920,7350,1418,250,306,524,23910
27,20000,1096.9,10229,0,1,3,1,54,0,2,0,0,2,8221,6997,8028,9510,8815,0,3000,2000,0,5363
28,120000,8967.7,109714,0,1,2,2,27,0,0,0,0,0,51819,53375,54620,56170,57240,2000,1700,2000,1700,1656
29,120000,0,114094,0,0,1,2,30,0,-1,-1,0,0,0,1990,0,0,0,1990,0,0,0,0
30,130000,768.775,155496,0,1,2,2,25,2,2,2,0,0,4178,10018,5353,5465,4559,6000,0,173,326,80
31,10000,1213.275,10000,0,0,2,2,24,0,2,2,-1,0,9301,9000,0,10500,10674,0,1000,10500,368,184
32,100000,4753.525,93303,0,0,1,2,31,0,2,2,-1,-1,29408,29395,28895,105,955,1000,0,1000,1000,1000
33,70000,2968.875,59333,1,1,2,1,34,2,2,2,2,2,17398,18310,18611,18966,19403,1500,900,800,900,2000
34,360000,4388.65,345232,0,0,1,1,37,-1,-1,-1,-1,-1,20970,14407,6820,10099,7806,14430,6820,10099,7806,7862
35,130000,0,115348,0,1,1,2,26,0,0,0,0,-1,0,0,402,0,2054,0,402,0,2054,0
36,240000,23115.75,238726,0,0,2,1,38,0,0,0,0,0,143966,155632,162379,156655,157536,20000,10070,10037,13137,10052
37,20000,0,12060,1,0,2,2,34,0,0,0,0,-1,0,0,0,0,8081,0,0,0,8081,0
38,60000,86.625,50434,0,1,1,1,43,3,2,0,0,-1,330,495,330,165,340,330,0,0,340,0
39,20000,3780.875,10455,0,0,2,1,45,3,2,0,0,0,20987,20200,19600,19600,20000,0,0,0,400,0
40,50000,7877.275,44479,0,1,2,2,29,0,0,0,0,0,43995,39478,19865,19388,19792,1358,680,845,871,1000
41,230000,3562.3,235555,0,1,1,2,31,0,0,0,0,0,21504,21729,23113,22936,23378,1700,2007,1000,1000,1000
42,60000,7148.925,51517,0,0,1,2,29,0,0,0,2,2,41891,44788,47728,48617,49669,3600,3700,1800,2000,0
43,100000,17622.325,98420,1,0,2,1,42,0,0,0,0,0,94528,89010,81545,75592,68715,3995,2800,3267,2919,334
